id,name,age,age_bucket,score,score_category,rating,balance,is_active,birth_date,days_since_birth,created_at,tag_count,tags_str,street,city,zip_code,category_id,byte_flag,high_value
20,user_00020,18,young,11.19,low,4.78,31461.18,true,1963-03-26,23030,2023-02-21 02:44:21,2,"toys, clothing",Pine Rd,Chicago,67912,6,78,false
21,user_00021,33,middle,66.69,high,2.41,23593.01,false,1973-11-12,19146,2022-01-05 12:24:52,2,"food, sports",Elm Blvd,New York,56898,4,45,false
22,user_00022,68,senior,70.13,high,2.53,-7676.52,false,1979-12-15,16922,2021-09-12 01:13:43,4,"books, food, clothing, beauty",Elm Blvd,San Antonio,97806,4,49,false
27,user_00027,27,young,2.44,low,1.98,18508.18,true,2000-11-09,9287,2023-07-11 14:57:40,2,"toys, sports",Oak Ave,Houston,98184,52,62,false
28,user_00028,69,senior,95.8,high,3.07,-6986.9,true,1970-11-20,20234,2023-11-19 04:15:39,2,"beauty, books",Maple Dr,New York,23970,68,81,false
30,user_00030,26,young,15.08,low,2.53,-831.68,true,1965-10-05,22106,2023-07-12 22:47:33,4,"books, home, sports, beauty",Cedar Ln,Phoenix,54020,8,52,false
32,user_00032,69,senior,40.43,medium,1.66,18043.41,true,1962-06-02,23327,2023-05-09 04:16:46,1,clothing,Park Ave,New York,60968,83,109,false
34,user_00034,79,senior,65.18,medium,4.02,46976.7,true,1961-10-29,23543,2025-04-14 10:08:40,2,"sports, clothing",Elm Blvd,Houston,95215,61,29,false
35,user_00035,56,senior,96.37,high,3.87,36667.51,true,1987-11-27,14018,2020-12-01 20:25:37,1,home,Cedar Ln,Dallas,43586,74,96,true
36,user_00036,24,young,69.72,high,2.21,31055.54,true,1963-09-07,22865,2022-12-14 17:23:20,4,"books, electronics, home, food",Washington St,Houston,19961,2,107,true
39,user_00039,33,middle,69.06,high,3.58,19449.28,true,1968-05-07,21161,2022-07-03 03:47:42,2,"toys, books",Oak Ave,Houston,63271,32,78,false
41,user_00041,80,senior,76.02,high,3.39,48830.64,true,1986-07-30,14503,2021-12-07 18:22:27,3,"food, beauty, electronics",Cedar Ln,Houston,73464,91,32,true
42,user_00042,58,senior,86.85,high,2.96,42363.18,false,2002-02-10,8829,2024-01-27 07:31:06,4,"books, clothing, electronics, food",Pine Rd,New York,17146,62,29,true
43,user_00043,58,senior,68.65,high,1.61,38668.52,false,1967-08-23,21419,2022-02-10 02:27:32,1,toys,Oak Ave,San Antonio,74454,78,57,true
44,user_00044,37,middle,56.86,medium,1.24,47606.53,true,1978-08-22,17402,2025-04-27 09:46:52,2,"home, books",Washington St,Dallas,68028,11,40,false
45,user_00045,18,young,40.85,medium,3.76,18194.75,true,1980-10-07,16625,2022-06-14 02:39:26,3,"beauty, electronics, books",Cedar Ln,Chicago,82350,30,67,false
48,user_00048,29,young,99.69,high,2.74,38854.7,true,2002-03-02,8809,2022-12-17 01:51:25,4,"books, food, beauty, electronics",Main St,Chicago,71669,21,84,true
50,user_00050,77,senior,28.8,low,4.52,19082.71,true,1981-06-20,16369,2026-01-14 05:14:36,2,"home, beauty",Park Ave,New York,36680,2,104,false
52,user_00052,35,middle,82.05,high,2.13,7913.35,false,1973-05-01,19341,2023-10-19 08:59:13,4,"books, food, home, beauty",Maple Dr,Los Angeles,46208,49,116,false
55,user_00055,58,senior,68.44,high,2.15,3649.18,true,1998-12-07,9990,2020-11-01 20:27:04,1,beauty,Park Ave,New York,90931,22,76,false
56,user_00056,40,middle,37.48,medium,1.58,21869.98,true,1975-04-02,18640,2021-06-27 22:07:02,1,toys,Main St,New York,52516,80,61,false
59,user_00059,30,young,62.09,medium,3.71,33255.7,true,1968-09-18,21027,2025-05-03 10:40:03,1,home,Pine Rd,Houston,89569,57,8,false
61,user_00061,66,senior,96.65,high,4.44,33453.0,false,1992-10-24,12225,2020-10-07 13:28:12,4,"electronics, food, home, beauty",Elm Blvd,Los Angeles,71385,59,94,true
63,user_00063,37,middle,99.59,high,1.46,4088.0,true,1994-11-13,11475,2023-11-10 10:07:48,3,"toys, home, books",Washington St,Los Angeles,28320,94,39,false
65,user_00065,56,senior,97.11,high,1.2,10010.55,true,1978-05-30,17486,2020-08-01 03:56:37,2,"sports, toys",Oak Ave,Dallas,22015,30,84,false
66,user_00066,52,senior,25.07,low,1.7,29663.46,true,1971-10-28,19892,2020-02-16 04:03:58,3,"sports, home, food",Maple Dr,New York,46342,3,44,false
67,user_00067,65,senior,6.36,low,2.79,11722.34,true,2000-07-20,9399,2024-04-14 08:56:09,2,"electronics, books",Pine Rd,New York,26614,85,77,false
68,user_00068,61,senior,10.8,low,3.85,16613.74,true,1988-11-23,13656,2025-03-04 21:56:37,2,"clothing, beauty",Park Ave,New York,17972,36,83,false
69,user_00069,68,senior,70.18,high,4.41,29055.0,true,1998-08-01,10118,2023-11-03 22:22:28,2,"toys, food",Washington St,Phoenix,69469,59,102,false
70,user_00070,34,middle,37.43,medium,1.61,45379.1,true,1968-03-08,21221,2020-09-22 05:13:41,1,toys,Washington St,Los Angeles,50966,13,95,false
72,user_00072,72,senior,55.63,medium,1.46,6714.09,true,1998-07-01,10149,2024-10-08 20:38:02,1,home,Maple Dr,Dallas,39392,4,46,false
73,user_00073,73,senior,14.33,low,3.63,-5824.87,true,1968-03-25,21204,2024-07-06 03:39:22,2,"toys, sports",Pine Rd,Phoenix,54541,59,87,false
74,user_00074,56,senior,8.5,low,1.21,-555.41,true,1967-04-27,21537,2022-04-25 09:27:30,4,"toys, sports, home, beauty",Maple Dr,Philadelphia,50846,54,69,false
75,user_00075,61,senior,67.85,high,2.95,30027.95,true,1979-10-13,16985,2023-05-13 00:58:28,1,electronics,Cedar Ln,Los Angeles,55242,27,77,true
76,user_00076,18,young,49.74,medium,2.72,-2248.86,true,2004-11-17,7818,2024-10-01 21:26:54,3,"clothing, sports, books",Cedar Ln,Chicago,43491,6,111,false
79,user_00079,24,young,14.64,low,1.79,26143.94,true,1975-11-22,18406,2025-05-04 23:15:15,4,"beauty, toys, home, books",Cedar Ln,Philadelphia,56019,58,82,false
80,user_00080,46,middle,63.14,medium,4.19,25485.19,false,2005-07-07,7586,2020-08-18 12:03:23,3,"beauty, sports, electronics",Elm Blvd,Chicago,67640,8,94,false
81,user_00081,56,senior,50.71,medium,2.85,23258.98,true,2000-05-06,9474,2024-11-11 01:48:43,2,"books, home",Pine Rd,Los Angeles,94497,61,38,false
82,user_00082,50,middle,64.61,medium,1.16,32457.3,false,1974-03-29,19009,2023-02-04 14:11:54,3,"home, sports, toys",Main St,Dallas,23566,100,86,false
83,user_00083,61,senior,38.66,medium,2.01,41093.98,true,1989-11-27,13287,2020-09-10 05:13:42,2,"books, food",Main St,Philadelphia,18639,84,100,false
84,user_00084,70,senior,12.78,low,3.81,46826.52,true,1997-12-26,10336,2024-04-28 19:38:59,3,"electronics, food, toys",Maple Dr,Los Angeles,50577,24,54,false
85,user_00085,27,young,7.72,low,4.38,-3931.55,true,1990-03-19,13175,2025-04-04 03:45:59,2,"toys, clothing",Elm Blvd,Dallas,35166,21,46,false
87,user_00087,50,middle,52.75,medium,4.87,39013.47,true,1982-06-06,16018,2020-06-11 02:48:28,4,"books, home, electronics, toys",Elm Blvd,Dallas,70513,16,72,false
89,user_00089,77,senior,9.91,low,3.86,10117.42,true,1972-05-05,19702,2020-04-29 00:05:35,3,"beauty, books, clothing",Oak Ave,Philadelphia,39430,98,120,false
90,user_00090,31,middle,83.5,high,3.2,33634.09,false,1969-12-22,20567,2022-06-14 02:24:38,2,"home, electronics",Park Ave,New York,20384,7,61,true
91,user_00091,56,senior,53.61,medium,3.53,24502.85,true,1986-02-17,14666,2023-08-26 14:22:18,1,books,Washington St,Dallas,18232,31,106,false
93,user_00093,65,senior,75.67,high,1.53,11137.94,false,1975-09-16,18473,2025-10-28 05:37:56,4,"beauty, books, clothing, toys",Elm Blvd,Houston,96127,9,117,false
95,user_00095,65,senior,43.97,medium,4.83,10342.2,true,2004-07-07,7951,2025-11-20 04:22:00,4,"books, toys, home, food",Elm Blvd,Phoenix,26315,11,108,false
97,user_00097,58,senior,40.62,medium,3.05,34993.88,true,1962-10-17,23190,2021-03-19 14:24:30,4,"electronics, clothing, beauty, toys",Elm Blvd,San Antonio,45986,100,93,false
98,user_00098,27,young,67.91,high,4.8,12320.8,true,1972-05-08,19699,2024-07-02 23:23:25,3,"toys, food, books",Elm Blvd,San Antonio,84349,36,63,false
100,user_00100,79,senior,84.55,high,2.28,10845.52,true,1986-01-18,14696,2022-07-20 22:23:27,2,"food, toys",Park Ave,Chicago,68341,47,57,false
101,user_00101,19,young,36.09,medium,3.29,18044.35,true,1967-09-26,21385,2020-07-23 06:32:03,3,"toys, books, beauty",Oak Ave,Houston,28202,62,105,false
102,user_00102,46,middle,46.58,medium,3.07,-2299.92,true,1971-07-30,19982,2023-09-06 02:21:26,1,clothing,Washington St,Los Angeles,26426,67,39,false
103,user_00103,40,middle,94.75,high,3.08,7042.9,true,1982-06-25,15999,2021-09-01 21:19:54,3,"food, books, beauty",Pine Rd,Chicago,31229,79,23,false
104,user_00104,39,middle,84.25,high,3.25,39514.18,true,1967-04-15,21549,2020-05-21 05:52:39,3,"sports, toys, home",Maple Dr,Chicago,32439,54,7,true
105,user_00105,69,senior,80.73,high,2.62,17212.65,true,1974-03-07,19031,2023-09-27 19:21:42,4,"beauty, sports, clothing, food",Park Ave,Phoenix,94136,78,36,false
106,user_00106,41,middle,51.5,medium,1.42,4504.27,true,1983-12-30,15446,2023-10-28 20:18:30,2,"food, electronics",Elm Blvd,Philadelphia,55268,7,74,false
109,user_00109,21,young,57.03,medium,1.78,23193.38,true,1994-08-29,11551,2024-04-15 16:01:03,4,"home, toys, beauty, books",Pine Rd,Philadelphia,62855,16,32,false
110,user_00110,66,senior,14.43,low,3.41,14083.23,true,1964-01-24,22726,2020-04-30 21:38:08,2,"books, toys",Oak Ave,San Antonio,58915,61,116,false
111,user_00111,57,senior,73.93,high,2.2,10182.41,false,1986-11-23,14387,2024-01-15 10:33:30,1,books,Maple Dr,Chicago,52987,43,28,false
112,user_00112,48,middle,26.55,low,3.62,48323.41,true,1964-08-09,22528,2024-12-17 22:38:57,4,"food, home, books, toys",Washington St,Phoenix,92478,100,97,false
113,user_00113,19,young,44.1,medium,2.68,14777.61,true,1996-10-25,10763,2024-04-08 02:22:27,4,"electronics, books, clothing, home",Maple Dr,Houston,14138,27,83,false
117,user_00117,48,middle,10.05,low,4.08,-9689.11,true,1996-07-03,10877,2025-07-21 11:12:55,4,"beauty, books, clothing, food",Cedar Ln,New York,23133,42,73,false
118,user_00118,64,senior,85.03,high,1.15,45288.25,false,1975-10-09,18450,2020-04-22 21:41:42,4,"beauty, clothing, books, food",Main St,Los Angeles,95498,5,2,true
120,user_00120,61,senior,75.73,high,1.7,41368.79,false,1998-05-15,10196,2024-05-19 22:06:39,3,"clothing, sports, books",Pine Rd,Chicago,11846,13,47,true
123,user_00123,62,senior,54.92,medium,2.88,22251.06,true,1982-03-14,16102,2025-10-14 17:58:12,1,beauty,Park Ave,Chicago,69634,68,92,false
124,user_00124,52,senior,14.99,low,2.31,21220.49,true,1978-06-05,17480,2026-02-05 09:16:40,4,"clothing, home, sports, electronics",Oak Ave,Los Angeles,18094,59,33,false
125,user_00125,47,middle,67.28,high,2.23,-8693.77,false,1960-04-08,24112,2021-11-07 23:53:57,1,electronics,Washington St,Dallas,83912,55,88,false
127,user_00127,64,senior,97.87,high,4.34,35370.76,false,2001-07-15,9039,2025-09-23 11:47:20,4,"toys, beauty, clothing, books",Oak Ave,Chicago,80419,59,88,true
128,user_00128,69,senior,66.02,medium,3.46,46174.28,true,1981-08-04,16324,2021-10-02 06:33:34,1,clothing,Maple Dr,Phoenix,34704,77,8,false
129,user_00129,32,middle,53.98,medium,4.02,36563.82,true,2005-03-16,7699,2022-06-17 17:02:47,2,"books, home",Park Ave,New York,42077,77,82,false
130,user_00130,37,middle,27.52,low,3.23,25500.03,true,1998-04-29,10212,2024-09-22 23:13:47,4,"electronics, food, books, sports",Cedar Ln,Phoenix,28777,68,81,false
131,user_00131,66,senior,53.79,medium,1.96,3520.67,true,2001-07-16,9038,2020-06-28 00:45:07,4,"toys, home, beauty, clothing",Washington St,San Antonio,29558,50,62,false
133,user_00133,25,young,74.69,high,4.02,44866.48,true,1995-08-01,11214,2022-01-13 13:48:34,3,"home, sports, toys",Pine Rd,New York,37762,69,91,true
134,user_00134,69,senior,98.13,high,2.88,40383.87,true,1993-04-04,12063,2022-08-30 05:09:25,4,"electronics, home, clothing, books",Pine Rd,Phoenix,57139,3,66,true
136,user_00136,71,senior,84.67,high,4.78,30092.93,true,1996-12-30,10697,2021-03-03 04:06:40,2,"clothing, books",Park Ave,Chicago,81058,20,2,true
137,user_00137,58,senior,66.68,high,3.47,18992.25,false,1961-05-30,23695,2020-01-21 13:03:10,4,"electronics, beauty, home, food",Cedar Ln,Dallas,58916,69,73,false
141,user_00141,27,young,75.23,high,3.85,13897.76,true,1986-11-06,14404,2021-05-19 17:10:06,2,"toys, books",Maple Dr,Philadelphia,12052,70,84,false
143,user_00143,67,senior,61.86,medium,4.19,32786.51,true,1984-01-15,15430,2021-04-24 03:32:54,4,"food, books, sports, beauty",Washington St,Chicago,99088,47,27,false
145,user_00145,67,senior,8.47,low,4.6,44312.45,true,1975-03-19,18654,2025-10-30 04:51:51,4,"food, clothing, beauty, books",Elm Blvd,San Antonio,11617,35,126,false
146,user_00146,37,middle,48.42,medium,1.31,5101.98,true,2004-06-24,7964,2025-01-18 21:24:50,2,"beauty, electronics",Maple Dr,Los Angeles,31916,18,77,false
147,user_00147,39,middle,43.06,medium,4.29,29062.21,true,1986-12-14,14366,2022-09-23 06:31:36,2,"beauty, food",Main St,San Antonio,53544,23,101,false
148,user_00148,38,middle,37.61,medium,4.27,13576.11,true,1977-12-04,17663,2025-01-13 23:38:52,2,"electronics, books",Elm Blvd,Phoenix,92955,60,53,false
149,user_00149,26,young,63.33,medium,1.97,29519.78,false,1993-10-27,11857,2020-08-17 19:14:24,4,"beauty, home, sports, toys",Park Ave,Phoenix,19064,65,107,false
150,user_00150,67,senior,24.82,low,3.66,-19.69,true,1995-11-07,11116,2022-10-27 05:38:31,4,"clothing, electronics, toys, food",Main St,Philadelphia,80373,29,56,false
151,user_00151,55,senior,69.04,high,1.6,49862.16,false,1969-05-18,20785,2022-07-06 21:01:23,4,"clothing, electronics, books, beauty",Park Ave,Philadelphia,61266,45,79,true
154,user_00154,66,senior,70.38,high,4.18,24640.87,true,1992-10-25,12224,2022-10-09 19:11:48,2,"beauty, electronics",Washington St,San Antonio,10583,34,125,false
159,user_00159,24,young,73.6,high,3.61,4851.9,true,2000-05-06,9474,2022-03-27 12:55:24,3,"clothing, sports, electronics",Main St,Dallas,81611,100,60,false
160,user_00160,26,young,78.48,high,4.25,38326.43,false,1985-03-20,15000,2025-01-28 08:56:05,2,"books, beauty",Cedar Ln,Philadelphia,89988,38,74,true
161,user_00161,73,senior,65.59,medium,3.81,-2038.55,true,1988-11-23,13656,2022-02-08 03:01:08,4,"beauty, clothing, home, food",Pine Rd,Los Angeles,27771,81,106,false
162,user_00162,50,middle,74.98,high,3.78,42639.04,false,2003-10-14,8218,2022-10-13 20:27:26,1,clothing,Washington St,Dallas,19898,94,117,true
165,user_00165,64,senior,69.94,high,1.94,29329.11,true,1960-02-05,24175,2021-10-25 01:50:10,4,"clothing, beauty, home, toys",Elm Blvd,Chicago,16787,67,113,false
166,user_00166,62,senior,13.22,low,1.28,12984.2,true,1969-04-04,20829,2022-08-31 13:10:46,3,"home, clothing, sports",Main St,New York,55032,100,34,false
167,user_00167,28,young,44.01,medium,3.89,27684.8,true,1996-12-07,10720,2025-03-29 01:57:24,4,"sports, electronics, toys, clothing",Maple Dr,Los Angeles,79534,97,31,false
168,user_00168,35,middle,64.46,medium,1.99,26059.94,false,1962-05-28,23332,2025-08-07 14:15:44,3,"sports, home, toys",Washington St,Philadelphia,66280,66,48,false
169,user_00169,49,middle,38.59,medium,1.96,28284.94,true,1961-01-30,23815,2023-01-26 21:26:01,3,"food, sports, home",Washington St,Phoenix,94694,54,93,false
172,user_00172,29,young,11.94,low,3.83,32089.98,true,2004-07-14,7944,2022-12-13 04:12:29,3,"food, beauty, clothing",Park Ave,New York,50539,96,68,false
174,user_00174,32,middle,74.08,high,1.01,41521.34,true,1981-12-09,16197,2020-05-22 20:37:52,4,"books, sports, clothing, beauty",Maple Dr,Phoenix,23487,5,107,true
175,user_00175,35,middle,82.6,high,3.29,-2835.94,true,1976-02-02,18334,2021-11-24 09:53:02,1,toys,Cedar Ln,Philadelphia,42540,9,119,false
179,user_00179,34,middle,85.09,high,4.7,13577.16,false,1988-07-14,13788,2023-11-07 16:04:20,3,"sports, electronics, clothing",Oak Ave,New York,67014,18,27,false
182,user_00182,18,young,6.17,low,4.12,3337.29,true,1995-12-09,11084,2023-03-02 12:12:25,1,home,Oak Ave,Dallas,23357,10,5,false
183,user_00183,75,senior,84.73,high,4.24,-2648.34,false,1964-07-17,22551,2021-06-05 22:10:58,4,"toys, sports, electronics, beauty",Oak Ave,Houston,94670,88,109,false
184,user_00184,35,middle,44.6,medium,1.59,26846.39,true,1986-06-23,14540,2024-03-30 00:03:17,4,"beauty, electronics, toys, food",Maple Dr,Philadelphia,38143,50,35,false
186,user_00186,51,senior,35.74,medium,3.34,3965.73,true,1968-12-25,20929,2022-02-09 01:33:41,2,"home, beauty",Cedar Ln,New York,46822,95,14,false
187,user_00187,33,middle,59.25,medium,4.22,31857.59,true,1991-07-20,12687,2024-10-29 15:09:13,2,"sports, toys",Cedar Ln,San Antonio,56504,64,79,false
188,user_00188,32,middle,60.17,medium,1.08,18679.34,false,1978-01-27,17609,2021-02-09 10:00:21,3,"food, toys, beauty",Maple Dr,Dallas,14975,8,5,false
189,user_00189,63,senior,94.19,high,2.58,-3938.07,false,1988-12-10,13639,2021-02-27 22:34:24,2,"toys, beauty",Maple Dr,Chicago,24538,82,124,false
191,user_00191,54,senior,10.41,low,2.98,9870.11,true,1981-05-08,16412,2022-12-13 12:02:12,3,"food, books, electronics",Maple Dr,Philadelphia,90134,91,85,false
192,user_00192,62,senior,6.78,low,2.03,-3517.92,true,1964-04-26,22633,2023-04-14 01:33:20,4,"toys, clothing, sports, books",Park Ave,New York,44761,49,89,false
194,user_00194,56,senior,98.53,high,4.57,32270.28,false,1974-10-20,18804,2025-03-01 20:53:03,4,"food, electronics, toys, beauty",Maple Dr,Los Angeles,81702,27,48,true
195,user_00195,24,young,4.96,low,3.29,40391.27,true,1964-11-21,22424,2023-01-26 01:21:17,1,toys,Washington St,Phoenix,96585,12,75,false
196,user_00196,28,young,63.82,medium,4.91,18414.24,true,1987-08-31,14106,2023-05-19 21:18:49,4,"beauty, books, food, electronics",Park Ave,Houston,22712,83,99,false
201,user_00201,42,middle,65.48,medium,3.29,18382.8,true,1984-09-15,15186,2023-06-05 23:54:59,2,"toys, electronics",Oak Ave,Los Angeles,47498,51,84,false
202,user_00202,39,middle,81.74,high,2.21,6820.8,false,1968-10-23,20992,2021-12-09 05:44:12,2,"home, books",Cedar Ln,New York,72287,57,82,false
203,user_00203,31,middle,91.34,high,2.63,19067.62,false,1965-01-15,22369,2024-05-19 21:17:36,2,"clothing, food",Pine Rd,San Antonio,89295,91,103,false
205,user_00205,29,young,96.05,high,2.9,23080.02,false,1974-09-02,18852,2022-03-14 15:04:54,1,home,Main St,Houston,58819,4,98,false
206,user_00206,59,senior,22.51,low,1.83,29095.24,true,1960-10-18,23919,2024-01-12 23:14:58,2,"food, home",Main St,Chicago,85007,2,57,false
208,user_00208,59,senior,71.11,high,4.57,7927.47,true,1981-07-23,16336,2020-06-25 09:25:34,4,"books, beauty, clothing, electronics",Oak Ave,Philadelphia,46239,84,127,false
210,user_00210,34,middle,72.52,high,3.24,44757.49,false,1968-01-05,21284,2021-11-21 12:25:22,3,"sports, books, food",Pine Rd,Los Angeles,71706,54,84,true
211,user_00211,48,middle,5.37,low,3.54,24818.79,true,2002-05-13,8737,2021-08-27 10:14:14,1,toys,Elm Blvd,Phoenix,86751,68,76,false
213,user_00213,66,senior,77.35,high,3.31,-493.89,true,1971-08-11,19970,2025-03-24 02:55:49,4,"toys, sports, beauty, books",Elm Blvd,New York,10617,50,1,false
214,user_00214,66,senior,83.32,high,1.76,30604.89,true,1980-04-19,16796,2025-11-24 16:57:11,3,"home, clothing, electronics",Main St,Houston,58903,50,78,true
215,user_00215,64,senior,52.03,medium,3.1,16019.91,true,1990-09-30,12980,2024-03-02 22:22:18,3,"sports, clothing, beauty",Maple Dr,Los Angeles,15992,3,58,false
217,user_00217,25,young,54.73,medium,2.9,-812.37,true,1987-01-05,14344,2023-07-31 14:27:01,1,home,Main St,New York,25176,80,35,false
218,user_00218,25,young,78.48,high,2.99,26540.11,false,1978-02-03,17602,2023-01-17 00:35:10,4,"home, clothing, electronics, beauty",Washington St,Los Angeles,77054,64,53,false
221,user_00221,74,senior,73.31,high,2.49,10563.36,true,1995-12-15,11078,2023-05-28 12:49:11,4,"home, toys, sports, books",Maple Dr,Philadelphia,56861,54,42,false
222,user_00222,44,middle,91.12,high,2.93,24136.61,false,1976-04-05,18271,2025-03-14 07:33:30,4,"books, home, electronics, clothing",Oak Ave,Chicago,17686,62,124,false
223,user_00223,34,middle,65.5,medium,1.05,42099.94,true,1990-05-08,13125,2024-05-31 18:52:39,1,toys,Oak Ave,San Antonio,67761,85,63,false
224,user_00224,71,senior,82.64,high,4.57,26774.84,true,1974-01-29,19068,2024-04-19 17:51:01,4,"beauty, toys, clothing, electronics",Park Ave,Philadelphia,96993,97,125,false
225,user_00225,32,middle,55.05,medium,2.51,39026.2,true,2001-03-09,9167,2023-10-12 01:07:22,4,"clothing, toys, sports, books",Elm Blvd,Houston,53371,41,30,false
227,user_00227,48,middle,71.67,high,2.45,17151.95,true,1979-11-23,16944,2020-01-07 19:48:59,3,"books, toys, beauty",Cedar Ln,Dallas,53512,38,95,false
228,user_00228,65,senior,72.16,high,1.43,26651.11,true,1970-10-31,20254,2023-05-05 16:29:09,2,"beauty, toys",Oak Ave,New York,31516,25,86,false
229,user_00229,67,senior,89.18,high,2.83,25358.97,true,2004-10-01,7865,2020-01-14 11:26:12,1,toys,Oak Ave,San Antonio,16094,75,123,false
230,user_00230,60,senior,60.05,medium,4.53,20246.61,false,1997-07-23,10492,2025-03-07 01:51:38,2,"home, sports",Maple Dr,Chicago,26827,44,75,false
231,user_00231,74,senior,74.84,high,2.2,32089.66,false,1979-07-01,17089,2021-09-16 03:22:32,2,"home, books",Park Ave,Chicago,28111,45,33,true
237,user_00237,52,senior,53.7,medium,1.37,3271.88,true,1989-10-10,13335,2022-10-25 14:06:36,3,"home, clothing, beauty",Maple Dr,Los Angeles,76209,68,121,false
238,user_00238,75,senior,64.23,medium,4.67,4629.63,true,1988-10-16,13694,2023-03-30 21:12:09,1,toys,Main St,Los Angeles,97679,33,72,false
239,user_00239,36,middle,89.83,high,1.77,20833.68,true,1975-01-07,18725,2024-07-29 10:18:38,1,clothing,Main St,Philadelphia,77411,27,54,false
240,user_00240,45,middle,64.66,medium,4.76,34813.45,true,1962-02-17,23432,2023-11-27 18:18:55,3,"electronics, beauty, toys",Washington St,Los Angeles,36945,7,45,false
241,user_00241,44,middle,38.8,medium,3.52,15981.5,true,1994-12-11,11447,2025-09-22 20:47:33,1,electronics,Pine Rd,Los Angeles,85361,83,16,false
242,user_00242,37,middle,60.66,medium,2.13,45601.45,false,1995-06-13,11263,2025-08-14 19:05:24,1,beauty,Main St,Los Angeles,56884,21,56,false
243,user_00243,37,middle,67.73,high,4.66,37701.03,false,1960-12-31,23845,2024-09-15 17:45:16,2,"clothing, electronics",Maple Dr,San Antonio,81529,1,100,true
244,user_00244,31,middle,41.27,medium,3.58,20753.16,true,1976-07-04,18181,2021-11-16 23:08:39,3,"sports, electronics, clothing",Oak Ave,Phoenix,37532,86,13,false
245,user_00245,30,young,72.56,high,2.95,9851.06,true,1981-01-15,16525,2020-11-06 19:54:01,3,"clothing, beauty, food",Park Ave,Los Angeles,48096,63,115,false
246,user_00246,54,senior,36.45,medium,2.27,15698.44,true,1988-02-06,13947,2022-02-03 20:08:55,2,"toys, food",Elm Blvd,Phoenix,86568,47,34,false
247,user_00247,37,middle,48.7,medium,1.44,28733.1,true,1985-03-05,15015,2021-03-10 23:16:51,2,"home, books",Elm Blvd,Dallas,70666,81,19,false
248,user_00248,43,middle,76.92,high,1.85,-7800.62,false,2002-05-09,8741,2025-07-24 14:55:29,2,"books, sports",Oak Ave,New York,76476,29,74,false
249,user_00249,50,middle,1.06,low,1.96,47840.02,true,1972-08-04,19611,2023-10-18 08:36:29,2,"food, home",Maple Dr,Dallas,75683,73,37,false
250,user_00250,49,middle,23.17,low,2.06,4041.12,true,1992-05-29,12373,2023-04-20 18:19:11,4,"beauty, electronics, toys, food",Park Ave,Philadelphia,15297,14,70,false
251,user_00251,59,senior,89.82,high,1.31,5095.18,true,1996-05-29,10912,2023-01-01 09:58:56,3,"beauty, toys, sports",Pine Rd,Chicago,59369,78,1,false
252,user_00252,50,middle,64.35,medium,1.85,1214.34,false,1970-08-13,20333,2025-08-15 23:54:29,2,"toys, beauty",Maple Dr,Dallas,31706,43,29,false
253,user_00253,28,young,64.73,medium,2.64,4620.22,true,1974-06-15,18931,2021-02-22 13:45:10,1,food,Park Ave,Dallas,72786,8,42,false
